ID,Settlement,Architectural/Urban Remains,Ethnicity_A1,Ethnicity_A2,Ethnicity_B1,Ethnicity_B2,Ethnicity_C1,Ethnicity_C2,Start Date,End Date,Roman Province 1,Roman Province 2,Legal Status A,Legal Status B,Legal Status C,Via,Conventus,Mint,Excavated,Modern Place,Modern Region,Modern Province,Pleiades URI,IAPH,TM URI,Wikipedia,,,
49,Calecula,,Turdetani?,Iberian,Roman republican,Roman,,,-30,300,,Baetica,Municipium,,,,Conventus Astigitanus,FALSO,,Daragoleja/ Pinos Puente,Granada,Andalucía,https://pleiades.stoa.org/places/265835,,http://www.trismegistos.org/place/26439,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
50,Callet,,,,,,,,-330,300,,Baetica,,,,,Conventus Hispalensis,VERDADERO,,Sierra de Montellano Tajo / Cortijo de Moguerejo,,Andalucía,https://pleiades.stoa.org/places/256043,,http://www.trismegistos.org/place/26584,https://es.wikipedia.org/wiki/Historia_de_Gibraltar,,,
51,Calpe,,,,,,,,-750,640,,Baetica,Municipium,,,,Conventus Gaditanus,FALSO,,Gibraltar,Cádiz,Andalucía,https://pleiades.stoa.org/places/256045,,http://www.trismegistos.org/place/26002,https://en.wikipedia.org/wiki/Rock_of_Gibraltar,,,
52,Calpurniana,,Roman,Roman,,,,,-30,640,,Baetica,,,,,Conventus Cordubensis,FALSO,,Cortijo de Teja/ Bujalance,Córdoba,Andalucía,https://pleiades.stoa.org/places/265836,,http://www.trismegistos.org/place/40870,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
53,Canania,,,,,,,,-30,640,,Baetica,Municipium flavium,,,,Conventus Hispalensis,FALSO,,Villanueva del Río,Sevilla,Andalucía,https://pleiades.stoa.org/places/256048,,http://www.trismegistos.org/place/38507,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
54,Cantigi,,,,,,,,-330,300,,Baetica,Oppidum,,,,Conventus Astigitanus/border,FALSO,,Cerro de la Plaza de Armas,Jaén,Andalucía,https://pleiades.stoa.org/places/265839,,https://www.trismegistos.org/place/26145,https://es.wikipedia.org/wiki/Oppidum_%C3%ADbero_de_Puente_Tablas,,,
55,Carbula,,,,,,,,-330,300,,Baetica,Municipium pagus,,,,Conventus Cordubensis,VERDADERO,,Almodovar del Rio,Córdoba,Andalucía,https://pleiades.stoa.org/places/256056,,http://www.trismegistos.org/place/26013,https://es.wikipedia.org/wiki/Almod%C3%B3var_del_R%C3%ADo,,,
56,Carissa Aurelia,2 necropoleis; structures,Turdetani,Iberian,Roman republican,Roman,,,-330,300,,Baetica,Civitas Latina (aurelia - Cesar´s mother?),Municipium Cesarianus,,,Conventus Gaditanus,VERDADERO,VERDADERO,Cortijo de Carija/ Bornos,Cádiz,Andalucía,https://pleiades.stoa.org/places/256057,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i6626,http://www.trismegistos.org/place/25986,https://es.wikipedia.org/wiki/Carissa_Aurelia,,,
57,Carmo,,Iberian,Iberian,Punic,Punic,Roman republican,Roman,-750,640,Ulterior,Baetica,Municipium,,,,Conventus Hispalensis,VERDADERO,VERDADERO,Carmona,Sevilla,Andalucía,https://pleiades.stoa.org/places/256058,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i7542&ids=410240090,http://www.trismegistos.org/place/26206,https://en.wikipedia.org/wiki/Carmona/_Spain,,,
58,Carruca,,,,,,,,-330,300,,Baetica,Municipium Flavium,,,,Conventus Astigitanus,FALSO,VERDADERO,Cortijo de los Cosme/ Écija,Sevilla,Andalucía,https://pleiades.stoa.org/places/256062,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i15692,http://www.trismegistos.org/place/26590,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
59,Carteia,,Iberian,Iberian,Punic,Punic,Roman republican,Roman,-750,640,,Baetica,Colonia Latina Libertinorum,,,,Conventus Gaditanus,VERDADERO,VERDADERO,San Roque Cortijo del Rocadillo,Sevilla,Andalucía,https://pleiades.stoa.org/places/256063,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i16079,http://www.trismegistos.org/place/26013,https://es.wikipedia.org/wiki/Carteia,,,
60,Cartima,,Punic,Punic,Roman republican,Roman,,,-330,300,,Baetica,Civitas,Municipium,,,Conventus Gaditanus,FALSO,VERDADERO,Cartama/ Málaga,Málaga,Andalucía,https://pleiades.stoa.org/places/265851,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i3004,http://www.trismegistos.org/place/26177,https://es.wikipedia.org/wiki/C%C3%A1rtama,,,
61,Carula,,,,,,,,-550,300,,Baetica,,,,,Conventus Astigitanus,FALSO,,Marchena,Seville,Andalucía,https://pleiades.stoa.org/places/256065,,http://www.trismegistos.org/place/26232,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
62,Castra Postumiana,,Oretani,Iberian,Roman republican,Roman,,,-330,-30,,Baetica,Municipium Contributum Ipscense,,,,,FALSO,,(Castro del Río/ Córdoba): véase Ipsca,Córdoba,Andalucía,https://pleiades.stoa.org/places/265853,,http://www.trismegistos.org/place/26610,https://es.wikipedia.org/wiki/Castro_del_R%C3%ADo,,,
63,Castulo/ Kastilo,,Oretani,Iberian,Roman republican,Roman,,,-550,640,Ulterior,Tarraconensis,Civitas foederata,Municipium Castulonense,,,In the border,VERDADERO,VERDADERO,Castulo,Jaén,Andalucía,https://pleiades.stoa.org/places/265855,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i4878&ids=230550053,https://www.trismegistos.org/place/26610,https://en.wikipedia.org/wiki/Castulo,,,
64,Caura,,Phoenician,Phoenician,Roman republican,Roman,,,-330,300,,Baetica,,,,,Conventus Hispalensis,VERDADERO,VERDADERO,(«Cerro de San Juan» Coria del Río/ Sevilla),Seville,Andalucía,https://pleiades.stoa.org/places/256086,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i3245,http://www.trismegistos.org/place/26214,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
65,Caviclum,,,,,,,,-30,640,,Baetica,,,,,,FALSO,,(Torrox/ Málaga),Málaga,Andalucía,https://pleiades.stoa.org/places/265857,,http://www.trismegistos.org/place/40876,https://es.wikipedia.org/wiki/Caviclum,,,
